Word	MorphoLexSegm	Roots
teaching	{(teach)}	['teach']
teachings	{(teach)}	['teach']
teal	{(teal)}	['teal']
team	{(team)}	['team']
teamed	{(team)}	['team']
teaming	{(team)}	['team']
teams	{(team)}	['team']
team's	{(team)}	['team']
tear	{(tear)}	['tear']
tearing	{(tear)}	['tear']
tears	{(tear)}	['tear']
teas	{(tea)}	['tea']
tease	{(tease)}	['tease']
teased	{(tease)}	['tease']
teat	{(teat)}	['teat']
teats	{(teat)}	['teat']
tech	{(tech)}	['tech']
technique	{(technique)}	['technique']
techniques	{(technique)}	['technique']
ted	{(ted)}	['ted']
tedious	{(tedious)}	['tedious']
tedium	{(tedium)}	['tedium']
tee	{(tee)}	['tee']
teem	{(teem)}	['teem']
teeming	{(teem)}	['teem']
teems	{(teem)}	['teem']
teen	{(teen)}	['teen']
superstitions	{(superstition)}	['superstition']
superior	{(superior)}	['superior']
superiors	{(superior)}	['superior']
superlative	{(superlative)}	['superlative']
superlatives	{(superlative)}	['superlative']
supersede	{(supersede)}	['supersede']
superseded	{(supersede)}	['supersede']
superstition	{(superstition)}	['superstition']
superstitious	{(superstitious)}	['superstitious']
supine	{(supine)}	['supine']
supper	{(supper)}	['supper']
suppers	{(supper)}	['supper']
supplant	{(supplant)}	['supplant']
supplanted	{(supplant)}	['supplant']
supplanting	{(supplant)}	['supplant']
supple	{(supple)}	['supple']
supply	{(supply)}	['supply']
supplying	{(supply)}	['supply']
support	{(support)}	['support']
supported	{(support)}	['support']
supporting	{(support)}	['support']
supports	{(support)}	['support']
supreme	{(supreme)}	['supreme']
sure	{(sure)}	['sure']
surf	{(surf)}	['surf']
surface	{(surface)}	['surface']
surfaced	{(surface)}	['surface']
surfaces	{(surface)}	['surface']
surfactant	{(surfactant)}	['surfactant']
surfactants	{(surfactant)}	['surfactant']
surge	{(surge)}	['surge']
surged	{(surge)}	['surge']
surly	{(surly)}	['surly']
surmise	{(surmise)}	['surmise']
surmised	{(surmise)}	['surmise']
surmises	{(surmise)}	['surmise']
surpass	{(surpass)}	['surpass']
surpassed	{(surpass)}	['surpass']
surprise	{(surprise)}	['surprise']
surprised	{(surprise)}	['surprise']
surprises	{(surprise)}	['surprise']
surrender	{(surrender)}	['surrender']
surrendered	{(surrender)}	['surrender']
surrendering	{(surrender)}	['surrender']
surreptitious	{(surreptitious)}	['surreptitious']
surround	{(surround)}	['surround']
surrounded	{(surround)}	['surround']
surrounding	{(surround)}	['surround']
surroundings	{(surround)}	['surround']
susan	{(susan)}	['susan']
susan's	{(susan)}	['susan']
sushi	{(sushi)}	['sushi']
susie	{(susie)}	['susie']
suspect	{(suspect)}	['suspect']
suspected	{(suspect)}	['suspect']
suspecting	{(suspect)}	['suspect']
suspects	{(suspect)}	['suspect']
suspense	{(suspense)}	['suspense']
sussex	{(sussex)}	['sussex']
suture	{(suture)}	['suture']
suzanne	{(suzanne)}	['suzanne']
suzuki	{(suzuki)}	['suzuki']
svelte	{(svelte)}	['svelte']
swab	{(swab)}	['swab']
swabbed	{(swab)}	['swab']
swaddle	{(swaddle)}	['swaddle']
swag	{(swag)}	['swag']
swagger	{(swagger)}	['swagger']
swaggered	{(swagger)}	['swagger']
swaggering	{(swagger)}	['swagger']
swahili	{(swahili)}	['swahili']
swallow	{(swallow)}	['swallow']
swallowed	{(swallow)}	['swallow']
swallowing	{(swallow)}	['swallow']
swallows	{(swallow)}	['swallow']
swam	{(swam)}	['swam']
swami	{(swami)}	['swami']
swamp	{(swamp)}	['swamp']
swamped	{(swamp)}	['swamp']
swamping	{(swamp)}	['swamp']
swamps	{(swamp)}	['swamp']
swan	{(swan)}	['swan']
swank	{(swank)}	['swank']
swans	{(swan)}	['swan']
swap	{(swap)}	['swap']
swarm	{(swarm)}	['swarm']
swarmed	{(swarm)}	['swarm']
swarming	{(swarm)}	['swarm']
swarms	{(swarm)}	['swarm']
swarthy	{(swarthy)}	['swarthy']
swash	{(swash)}	['swash']
swastika	{(swastika)}	['swastika']
swat	{(swat)}	['swat']
swatch	{(swatch)}	['swatch']
swatches	{(swatch)}	['swatch']
swath	{(swath)}	['swath']
swathe	{(swathe)}	['swathe']
swathed	{(swathe)}	['swathe']
sway	{(sway)}	['sway']
swayed	{(sway)}	['sway']
swaying	{(sway)}	['sway']
swear	{(swear)}	['swear']
swearing	{(swear)}	['swear']
swears	{(swear)}	['swear']
sweat	{(sweat)}	['sweat']
sweated	{(sweat)}	['sweat']
sweating	{(sweat)}	['sweat']
sweden	{(sweden)}	['sweden']
sweden's	{(sweden)}	['sweden']
swedes	{(swede)}	['swede']
swedish	{(swedish)}	['swedish']
sweep	{(sweep)}	['sweep']
sweeping	{(sweep)}	['sweep']
sweepings	{(sweep)}	['sweep']
sweet	{(sweet)}	['sweet']
sweets	{(sweet)}	['sweet']
swell	{(swell)}	['swell']
swelled	{(swell)}	['swell']
swelling	{(swell)}	['swell']
swellings	{(swell)}	['swell']
swells	{(swell)}	['swell']
swelter	{(swelter)}	['swelter']
sweltering	{(swelter)}	['swelter']
swept	{(swept)}	['swept']
swerve	{(swerve)}	['swerve']
swerved	{(swerve)}	['swerve']
swift	{(swift)}	['swift']
swig	{(swig)}	['swig']
swill	{(swill)}	['swill']
swim	{(swim)}	['swim']
swimming	{(swim)}	['swim']
swindle	{(swindle)}	['swindle']
swindled	{(swindle)}	['swindle']
swine	{(swine)}	['swine']
swing	{(swing)}	['swing']
swinging	{(swing)}	['swing']
swings	{(swing)}	['swing']
swipe	{(swipe)}	['swipe']
swiped	{(swipe)}	['swipe']
swirl	{(swirl)}	['swirl']
swirled	{(swirl)}	['swirl']
swirling	{(swirl)}	['swirl']
swish	{(swish)}	['swish']
swished	{(swish)}	['swish']
swiss	{(swiss)}	['swiss']
switch	{(switch)}	['switch']
switched	{(switch)}	['switch']
switches	{(switch)}	['switch']
switching	{(switch)}	['switch']
switzerland	{(switzerland)}	['switzerland']
swivel	{(swivel)}	['swivel']
swivels	{(swivel)}	['swivel']
swizzle	{(swizzle)}	['swizzle']
swollen	{(swollen)}	['swollen']
swoon	{(swoon)}	['swoon']
swoop	{(swoop)}	['swoop']
swooped	{(swoop)}	['swoop']
swooping	{(swoop)}	['swoop']
swoops	{(swoop)}	['swoop']
sword	{(sword)}	['sword']
swords	{(sword)}	['sword']
swore	{(swore)}	['swore']
swum	{(swum)}	['swum']
swung	{(swung)}	['swung']
sybil	{(sybil)}	['sybil']
sycamore	{(sycamore)}	['sycamore']
sydney	{(sydney)}	['sydney']
sylvan	{(sylvan)}	['sylvan']
symbol	{(symbol)}	['symbol']
symbols	{(symbol)}	['symbol']
symposium	{(symposium)}	['symposium']
stymie	{(stymie)}	['stymie']
stymied	{(stymie)}	['stymie']
styrene	{(styrene)}	['styrene']
styx	{(styx)}	['styx']
suave	{(suave)}	['suave']
sub	{(sub)}	['sub']
subbing	{(sub)}	['sub']
subdue	{(subdue)}	['subdue']
subdued	{(subdue)}	['subdue']
subdues	{(subdue)}	['subdue']
sublimate	{(sublimate)}	['sublimate']
sublime	{(sublime)}	['sublime']
sublimed	{(sublime)}	['sublime']
submit	{(submit)}	['submit']
submits	{(submit)}	['submit']
submitted	{(submit)}	['submit']
submitting	{(submit)}	['submit']
subs	{(sub)}	['sub']
subsequent	{(subsequent)}	['subsequent']
subside	{(subside)}	['subside']
subsided	{(subside)}	['subside']
substance	{(substance)}	['substance']
substances	{(substance)}	['substance']
substrate	{(substrate)}	['substrate']
substrates	{(substrate)}	['substrate']
subterfuge	{(subterfuge)}	['subterfuge']
subterfuges	{(subterfuge)}	['subterfuge']
subtle	{(subtle)}	['subtle']
succeed	{(succeed)}	['succeed']
succeeded	{(succeed)}	['succeed']
succeeding	{(succeed)}	['succeed']
succeeds	{(succeed)}	['succeed']
success	{(success)}	['success']
successes	{(success)}	['success']
succession	{(succession)}	['succession']
successive	{(successive)}	['successive']
successor	{(successor)}	['successor']
successors	{(successor)}	['successor']
succinct	{(succinct)}	['succinct']
succor	{(succor)}	['succor']
succumb	{(succumb)}	['succumb']
succumbed	{(succumb)}	['succumb']
succumbing	{(succumb)}	['succumb']
such	{(such)}	['such']
suck	{(suck)}	['suck']
sucked	{(suck)}	['suck']
sucking	{(suck)}	['suck']
suckle	{(suckle)}	['suckle']
sucrose	{(sucrose)}	['sucrose']
sudan	{(sudan)}	['sudan']
sudden	{(sudden)}	['sudden']
suds	{(sud)}	['sud']
sue	{(sue)}	['sue']
sued	{(sue)}	['sue']
suede	{(suede)}	['suede']
sues	{(su)}	['su']
suffer	{(suffer)}	['suffer']
suffered	{(suffer)}	['suffer']
suffering	{(suffer)}	['suffer']
sufferings	{(suffer)}	['suffer']
suffers	{(suffer)}	['suffer']
suffice	{(suffice)}	['suffice']
suffix	{(suffix)}	['suffix']
suffixes	{(suffix)}	['suffix']
suffocate	{(suffocate)}	['suffocate']
suffocated	{(suffocate)}	['suffocate']
suffrage	{(suffrage)}	['suffrage']
sugar	{(sugar)}	['sugar']
sugared	{(sugar)}	['sugar']
suggest	{(suggest)}	['suggest']
suggested	{(suggest)}	['suggest']
suggesting	{(suggest)}	['suggest']
suggests	{(suggest)}	['suggest']
suit	{(suit)}	['suit']
suite	{(suite)}	['suite']
suited	{(suit)}	['suit']
suites	{(suite)}	['suite']
suite's	{(suite)}	['suite']
suits	{(suit)}	['suit']
sulk	{(sulk)}	['sulk']
sulked	{(sulk)}	['sulk']
sulking	{(sulk)}	['sulk']
sulks	{(sulk)}	['sulk']
sullen	{(sullen)}	['sullen']
sully	{(sully)}	['sully']
sullying	{(sully)}	['sully']
sultan	{(sultan)}	['sultan']
sultans	{(sultan)}	['sultan']
sultry	{(sultry)}	['sultry']
sum	{(sum)}	['sum']
sumac	{(sumac)}	['sumac']
summed	{(sum)}	['sum']
summer	{(summer)}	['summer']
summers	{(summer)}	['summer']
summer's	{(summer)}	['summer']
summing	{(sum)}	['sum']
summit	{(summit)}	['summit']
summon	{(summon)}	['summon']
summoned	{(summon)}	['summon']
summons	{(summons)}	['summons']
sumptuous	{(sumptuous)}	['sumptuous']
sums	{(sum)}	['sum']
sun	{(sun)}	['sun']
sundae	{(sundae)}	['sundae']
sunder	{(sunder)}	['sunder']
sundry	{(sundry)}	['sundry']
sung	{(sung)}	['sung']
sunk	{(sunk)}	['sunk']
sunning	{(sun)}	['sun']
suns	{(sun)}	['sun']
sun's	{(sun)}	['sun']
sup	{(sup)}	['sup']
super	{(super)}	['super']
superb	{(superb)}	['superb']
stilts	{(stilt)}	['stilt']
stimulus	{(stimul)}	['stimul']
sting	{(sting)}	['sting']
stinging	{(sting)}	['sting']
stings	{(sting)}	['sting']
stingy	{(stingy)}	['stingy']
stink	{(stink)}	['stink']
stinking	{(stink)}	['stink']
stint	{(stint)}	['stint']
stipend	{(stipend)}	['stipend']
stir	{(stir)}	['stir']
stirred	{(stir)}	['stir']
stirring	{(stir)}	['stir']
stirrings	{(stir)}	['stir']
stirrup	{(stirrup)}	['stirrup']
stirs	{(stir)}	['stir']
stitch	{(stitch)}	['stitch']
stitched	{(stitch)}	['stitch']
stitches	{(stitch)}	['stitch']
stochastic	{(stochastic)}	['stochastic']
stock	{(stock)}	['stock']
stockade	{(stockade)}	['stockade']
stocking	{(stock)}	['stock']
stockings	{(stocking)}	['stocking']
stocks	{(stock)}	['stock']
stock's	{(stock)}	['stock']
stoic	{(stoic)}	['stoic']
stoics	{(stoic)}	['stoic']
stoke	{(stoke)}	['stoke']
stoked	{(stoke)}	['stoke']
stole	{(stole)}	['stole']
stolid	{(stolid)}	['stolid']
stomach	{(stomach)}	['stomach']
stomachs	{(stomach)}	['stomach']
stomp	{(stomp)}	['stomp']
stomped	{(stomp)}	['stomp']
stomping	{(stomp)}	['stomp']
stone	{(stone)}	['stone']
stoned	{(stone)}	['stone']
stones	{(stone)}	['stone']
stone's	{(stone)}	['stone']
stood	{(stood)}	['stood']
stooge	{(stooge)}	['stooge']
stooges	{(stooge)}	['stooge']
stool	{(stool)}	['stool']
stoop	{(stoop)}	['stoop']
stooped	{(stoop)}	['stoop']
stooping	{(stoop)}	['stoop']
stop	{(stop)}	['stop']
stopped	{(stop)}	['stop']
stopping	{(stop)}	['stop']
stops	{(stop)}	['stop']
store	{(store)}	['store']
stored	{(store)}	['store']
stores	{(store)}	['store']
stork	{(stork)}	['stork']
storm	{(storm)}	['storm']
stormed	{(storm)}	['storm']
storming	{(storm)}	['storm']
storms	{(storm)}	['storm']
story	{(story)}	['story']
stout	{(stout)}	['stout']
stove	{(stove)}	['stove']
stoves	{(stove)}	['stove']
stow	{(stow)}	['stow']
stowed	{(stow)}	['stow']
straddle	{(straddle)}	['straddle']
straddled	{(straddle)}	['straddle']
straggle	{(straggle)}	['straggle']
straggled	{(straggle)}	['straggle']
straight	{(straight)}	['straight']
strain	{(strain)}	['strain']
strained	{(strain)}	['strain']
straining	{(strain)}	['strain']
strains	{(strain)}	['strain']
strait	{(strait)}	['strait']
straits	{(strait)}	['strait']
strand	{(strand)}	['strand']
stranded	{(strand)}	['strand']
stranding	{(strand)}	['strand']
strands	{(strand)}	['strand']
strange	{(strange)}	['strange']
strangle	{(strangle)}	['strangle']
strangled	{(strangle)}	['strangle']
strangulate	{(strangulate)}	['strangulate']
strap	{(strap)}	['strap']
strapped	{(strap)}	['strap']
strapping	{(strap)}	['strap']
straps	{(strap)}	['strap']
stratagem	{(stratagem)}	['stratagem']
straw	{(straw)}	['straw']
straws	{(straw)}	['straw']
stray	{(stray)}	['stray']
strayed	{(stray)}	['stray']
strays	{(stray)}	['stray']
streak	{(streak)}	['streak']
streaked	{(streak)}	['streak']
streaks	{(streak)}	['streak']
stream	{(stream)}	['stream']
streamed	{(stream)}	['stream']
streaming	{(stream)}	['stream']
streams	{(stream)}	['stream']
stream's	{(stream)}	['stream']
street	{(street)}	['street']
streets	{(street)}	['street']
street's	{(street)}	['street']
strength	{(strength)}	['strength']
strengths	{(strength)}	['strength']
strenuous	{(strenuous)}	['strenuous']
streptococcus	{(streptococcus)}	['streptococcus']
stress	{(stress)}	['stress']
stressed	{(stress)}	['stress']
stresses	{(stress)}	['stress']
stressing	{(stress)}	['stress']
stretch	{(stretch)}	['stretch']
stretched	{(stretch)}	['stretch']
stretches	{(stretch)}	['stretch']
stretching	{(stretch)}	['stretch']
strew	{(strew)}	['strew']
striate	{(striate)}	['striate']
strict	{(strict)}	['strict']
stride	{(stride)}	['stride']
strides	{(stride)}	['stride']
strife	{(strife)}	['strife']
strike	{(strike)}	['strike']
strikes	{(strike)}	['strike']
string	{(string)}	['string']
stringed	{(string)}	['string']
stringing	{(string)}	['string']
strings	{(string)}	['string']
strip	{(strip)}	['strip']
stripe	{(stripe)}	['stripe']
striped	{(stripe)}	['stripe']
stripes	{(stripe)}	['stripe']
stripped	{(strip)}	['strip']
strips	{(strip)}	['strip']
strive	{(strive)}	['strive']
strives	{(strive)}	['strive']
strode	{(strode)}	['strode']
stroke	{(stroke)}	['stroke']
stroked	{(stroke)}	['stroke']
strokes	{(stroke)}	['stroke']
stroll	{(stroll)}	['stroll']
strolled	{(stroll)}	['stroll']
strolling	{(stroll)}	['stroll']
strong	{(strong)}	['strong']
stropped	{(strop)}	['strop']
stropping	{(strop)}	['strop']
strove	{(strove)}	['strove']
struck	{(struck)}	['struck']
strudel	{(strudel)}	['strudel']
struggle	{(struggle)}	['struggle']
struggled	{(struggle)}	['struggle']
struggles	{(struggle)}	['struggle']
strum	{(strum)}	['strum']
strumming	{(strum)}	['strum']
strumpet	{(strumpet)}	['strumpet']
strung	{(strung)}	['strung']
strut	{(strut)}	['strut']
strutted	{(strut)}	['strut']
strutting	{(strut)}	['strut']
strychnine	{(strychnine)}	['strychnine']
stuart	{(stuart)}	['stuart']
stub	{(stub)}	['stub']
stubbed	{(stub)}	['stub']
stubble	{(stubble)}	['stubble']
stubborn	{(stubborn)}	['stubborn']
stubs	{(stub)}	['stub']
stucco	{(stucco)}	['stucco']
stuck	{(stuck)}	['stuck']
stud	{(stud)}	['stud']
studded	{(stud)}	['stud']
studio	{(studio)}	['studio']
studios	{(studio)}	['studio']
studs	{(stud)}	['stud']
stuff	{(stuff)}	['stuff']
stuffed	{(stuff)}	['stuff']
stuffing	{(stuff)}	['stuff']
stumble	{(stumble)}	['stumble']
stumbled	{(stumble)}	['stumble']
stumbles	{(stumble)}	['stumble']
stump	{(stump)}	['stump']
stumped	{(stump)}	['stump']
stumping	{(stump)}	['stump']
stumps	{(stump)}	['stump']
stun	{(stun)}	['stun']
stung	{(stung)}	['stung']
stunk	{(stunk)}	['stunk']
stunned	{(stun)}	['stun']
stunning	{(stun)}	['stun']
stunt	{(stunt)}	['stunt']
stunts	{(stunt)}	['stunt']
stupendous	{(stupendous)}	['stupendous']
stupid	{(stupid)}	['stupid']
stupor	{(stupor)}	['stupor']
sturdy	{(sturdy)}	['sturdy']
sturgeon	{(sturgeon)}	['sturgeon']
stutter	{(stutter)}	['stutter']
sty	{(sty)}	['sty']
style	{(style)}	['style']
styled	{(style)}	['style']
styles	{(style)}	['style']
squelch	{(squelch)}	['squelch']
squelched	{(squelch)}	['squelch']
squid	{(squid)}	['squid']
squiggle	{(squiggle)}	['squiggle']
squint	{(squint)}	['squint']
squinted	{(squint)}	['squint']
squinting	{(squint)}	['squint']
squire	{(squire)}	['squire']
squires	{(squire)}	['squire']
squirm	{(squirm)}	['squirm']
squirmed	{(squirm)}	['squirm']
squirms	{(squirm)}	['squirm']
squirrel	{(squirrel)}	['squirrel']
squirt	{(squirt)}	['squirt']
squirted	{(squirt)}	['squirt']
squirting	{(squirt)}	['squirt']
stab	{(stab)}	['stab']
stabbed	{(stab)}	['stab']
stable	{(stable)}	['stable']
stabled	{(stable)}	['stable']
stables	{(stable)}	['stable']
stabs	{(stab)}	['stab']
staccato	{(staccato)}	['staccato']
staccatos	{(staccato)}	['staccato']
stacey	{(stacey)}	['stacey']
stack	{(stack)}	['stack']
stacked	{(stack)}	['stack']
stacking	{(stack)}	['stack']
stacks	{(stack)}	['stack']
stacy	{(stacy)}	['stacy']
stadium	{(stadium)}	['stadium']
staff	{(staff)}	['staff']
staffed	{(staff)}	['staff']
staffing	{(staff)}	['staff']
stafford	{(stafford)}	['stafford']
staffs	{(staff)}	['staff']
staff's	{(staff)}	['staff']
stag	{(stag)}	['stag']
stage	{(stage)}	['stage']
staged	{(stage)}	['stage']
stages	{(stage)}	['stage']
stagger	{(stagger)}	['stagger']
staggered	{(stagger)}	['stagger']
staggering	{(stagger)}	['stagger']
stags	{(stag)}	['stag']
staid	{(staid)}	['staid']
stain	{(stain)}	['stain']
stained	{(stain)}	['stain']
staining	{(stain)}	['stain']
stains	{(stain)}	['stain']
stair	{(stair)}	['stair']
stairs	{(stair)}	['stair']
stake	{(stake)}	['stake']
staked	{(stake)}	['stake']
stakes	{(stake)}	['stake']
stalactite	{(stalactite)}	['stalactite']
stalagmite	{(stalagmite)}	['stalagmite']
stale	{(stale)}	['stale']
stalin	{(stalin)}	['stalin']
stalin's	{(stalin)}	['stalin']
stalk	{(stalk)}	['stalk']
stalked	{(stalk)}	['stalk']
stalking	{(stalk)}	['stalk']
stall	{(stall)}	['stall']
stalled	{(stall)}	['stall']
stalling	{(stall)}	['stall']
stallings	{(stall)}	['stall']
stallion	{(stallion)}	['stallion']
stallion's	{(stallion)}	['stallion']
stalls	{(stall)}	['stall']
stalwart	{(stalwart)}	['stalwart']
stamen	{(stamen)}	['stamen']
stamens	{(stamen)}	['stamen']
stamina	{(stamina)}	['stamina']
stammer	{(stammer)}	['stammer']
stammered	{(stammer)}	['stammer']
stammering	{(stammer)}	['stammer']
stamp	{(stamp)}	['stamp']
stamped	{(stamp)}	['stamp']
stampede	{(stampede)}	['stampede']
stampeded	{(stampede)}	['stampede']
stamping	{(stamp)}	['stamp']
stamps	{(stamp)}	['stamp']
stan	{(stan)}	['stan']
stance	{(stance)}	['stance']
stances	{(stance)}	['stance']
stanch	{(stanch)}	['stanch']
stand	{(stand)}	['stand']
standard	{(standard)}	['standard']
standards	{(standard)}	['standard']
standing	{(stand)}	['stand']
stands	{(stand)}	['stand']
stanford	{(stanford)}	['stanford']
stank	{(stank)}	['stank']
stanley	{(stanley)}	['stanley']
stanley's	{(stanley)}	['stanley']
stanza	{(stanza)}	['stanza']
staple	{(staple)}	['staple']
staples	{(staple)}	['staple']
star	{(star)}	['star']
starch	{(starch)}	['starch']
starched	{(starch)}	['starch']
stare	{(stare)}	['stare']
stared	{(stare)}	['stare']
stares	{(stare)}	['stare']
stark	{(stark)}	['stark']
starling	{(starling)}	['starling']
starlings	{(starling)}	['starling']
starred	{(star)}	['star']
starring	{(star)}	['star']
stars	{(star)}	['star']
start	{(start)}	['start']
started	{(start)}	['start']
starting	{(start)}	['start']
startle	{(startle)}	['startle']
startled	{(startle)}	['startle']
starts	{(start)}	['start']
starve	{(starve)}	['starve']
starved	{(starve)}	['starve']
stash	{(stash)}	['stash']
stashed	{(stash)}	['stash']
stasis	{(stasis)}	['stasis']
state	{(state)}	['state']
stated	{(state)}	['state']
states	{(state)}	['state']
state's	{(state)}	['state']
statistic	{(statistic)}	['statistic']
statistics	{(statistics)}	['statistics']
statuary	{(statuary)}	['statuary']
statue	{(statue)}	['statue']
statues	{(statue)}	['statue']
stature	{(stature)}	['stature']
status	{(status)}	['status']
statute	{(statute)}	['statute']
statutes	{(statute)}	['statute']
staunch	{(staunch)}	['staunch']
stave	{(stave)}	['stave']
staved	{(stave)}	['stave']
stay	{(stay)}	['stay']
stayed	{(stay)}	['stay']
staying	{(stay)}	['stay']
stays	{(stay)}	['stay']
stead	{(stead)}	['stead']
steadfast	{(steadfast)}	['steadfast']
steady	{(steady)}	['steady']
steak	{(steak)}	['steak']
steaks	{(steak)}	['steak']
steal	{(steal)}	['steal']
stealing	{(steal)}	['steal']
steals	{(steal)}	['steal']
stealth	{(stealth)}	['stealth']
steam	{(steam)}	['steam']
steamed	{(steam)}	['steam']
steaming	{(steam)}	['steam']
steed	{(steed)}	['steed']
steel	{(steel)}	['steel']
steeled	{(steel)}	['steel']
steels	{(steel)}	['steel']
steep	{(steep)}	['steep']
steeped	{(steep)}	['steep']
steeple	{(steeple)}	['steeple']
steeples	{(steeple)}	['steeple']
steer	{(steer)}	['steer']
steered	{(steer)}	['steer']
steering	{(steer)}	['steer']
steers	{(steer)}	['steer']
stein	{(stein)}	['stein']
stella	{(stella)}	['stella']
stem	{(stem)}	['stem']
stemmed	{(stem)}	['stem']
stems	{(stem)}	['stem']
stench	{(stench)}	['stench']
stencil	{(stencil)}	['stencil']
step	{(step)}	['step']
stephanie	{(stephanie)}	['stephanie']
stephen	{(stephen)}	['stephen']
stephens	{(stephens)}	['stephens']
stephen's	{(stephen)}	['stephen']
steppe	{(steppe)}	['steppe']
stepped	{(step)}	['step']
steppes	{(steppe)}	['steppe']
stepping	{(step)}	['step']
steps	{(step)}	['step']
stepson	{(stepson)}	['stepson']
stereo	{(stereo)}	['stereo']
sterile	{(sterile)}	['sterile']
sterling	{(sterling)}	['sterling']
sternum	{(sternum)}	['sternum']
steroid	{(steroid)}	['steroid']
steroids	{(steroid)}	['steroid']
stetson	{(stetson)}	['stetson']
stetsons	{(stetson)}	['stetson']
steve	{(steve)}	['steve']
stew	{(stew)}	['stew']
steward	{(steward)}	['steward']
stewards	{(steward)}	['steward']
stewed	{(stew)}	['stew']
stews	{(stew)}	['stew']
stick	{(stick)}	['stick']
sticking	{(stick)}	['stick']
sticks	{(stick)}	['stick']
stiff	{(stiff)}	['stiff']
stiffs	{(stiff)}	['stiff']
stifle	{(stifle)}	['stifle']
stifled	{(stifle)}	['stifle']
stigma	{(stigma)}	['stigma']
stigmata	{(stigmata)}	['stigmata']
stiles	{(stile)}	['stile']
stiletto	{(stiletto)}	['stiletto']
still	{(still)}	['still']
stills	{(still)}	['still']
stilt	{(stilt)}	['stilt']
stilted	{(stilt)}	['stilt']
sparks	{(spark)}	['spark']
sparring	{(spar)}	['spar']
sparrow	{(sparrow)}	['sparrow']
sparrow's	{(sparrow)}	['sparrow']
sparse	{(sparse)}	['sparse']
sparta	{(sparta)}	['sparta']
spasm	{(spasm)}	['spasm']
spasmodic	{(spasmodic)}	['spasmodic']
spasms	{(spasm)}	['spasm']
spastic	{(spastic)}	['spastic']
spat	{(spat)}	['spat']
spats	{(spat)}	['spat']
spatter	{(spatter)}	['spatter']
spattered	{(spatter)}	['spatter']
spatula	{(spatula)}	['spatula']
spawn	{(spawn)}	['spawn']
spay	{(spay)}	['spay']
speak	{(speak)}	['speak']
speaking	{(speak)}	['speak']
speaks	{(speak)}	['speak']
spear	{(spear)}	['spear']
speared	{(spear)}	['spear']
spearmint	{(spearmint)}	['spearmint']
spec	{(spec)}	['spec']
special	{(special)}	['special']
species	{(species)}	['species']
specimen	{(specimen)}	['specimen']
specimens	{(specimen)}	['specimen']
speck	{(speck)}	['speck']
speckle	{(speckle)}	['speckle']
speckled	{(speckle)}	['speckle']
speckles	{(speckle)}	['speckle']
specks	{(speck)}	['speck']
spelled	{(spell)}	['spell']
sped	{(sped)}	['sped']
speech	{(speech)}	['speech']
speeches	{(speech)}	['speech']
speed	{(speed)}	['speed']
speeded	{(speed)}	['speed']
speeding	{(speed)}	['speed']
speeds	{(speed)}	['speed']
spell	{(spell)}	['spell']
spelling	{(spell)}	['spell']
spells	{(spell)}	['spell']
spend	{(spend)}	['spend']
spending	{(spend)}	['spend']
spends	{(spend)}	['spend']
spent	{(spent)}	['spent']
sperm	{(sperm)}	['sperm']
spew	{(spew)}	['spew']
spewing	{(spew)}	['spew']
sphere	{(sphere)}	['sphere']
spheres	{(sphere)}	['sphere']
sphincter	{(sphincter)}	['sphincter']
sphinx	{(sphinx)}	['sphinx']
spice	{(spice)}	['spice']
spiced	{(spice)}	['spice']
spices	{(spice)}	['spice']
spider	{(spider)}	['spider']
spiel	{(spiel)}	['spiel']
spigot	{(spigot)}	['spigot']
spigots	{(spigot)}	['spigot']
spike	{(spike)}	['spike']
spiked	{(spike)}	['spike']
spikes	{(spike)}	['spike']
spill	{(spill)}	['spill']
spilled	{(spill)}	['spill']
spilling	{(spill)}	['spill']
spills	{(spill)}	['spill']
spin	{(spin)}	['spin']
spinach	{(spinach)}	['spinach']
spindle	{(spindle)}	['spindle']
spine	{(spine)}	['spine']
spinnaker	{(spinnaker)}	['spinnaker']
spinning	{(spin)}	['spin']
spinster	{(spinster)}	['spinster']
spiral	{(spiral)}	['spiral']
spiraled	{(spiral)}	['spiral']
spiraling	{(spiral)}	['spiral']
spire	{(spir)}	['spir']
spires	{(spir)}	['spir']
spirit	{(spirit)}	['spirit']
spirited	{(spirit)}	['spirit']
spirits	{(spirit)}	['spirit']
spit	{(spit)}	['spit']
spite	{(spite)}	['spite']
spitting	{(spit)}	['spit']
spittle	{(spittle)}	['spittle']
splash	{(splash)}	['splash']
splashed	{(splash)}	['splash']
splashes	{(splash)}	['splash']
splashing	{(splash)}	['splash']
splat	{(splat)}	['splat']
splatter	{(splatter)}	['splatter']
splattered	{(splatter)}	['splatter']
splay	{(splay)}	['splay']
splayed	{(splay)}	['splay']
spleen	{(spleen)}	['spleen']
splendid	{(splendid)}	['splendid']
splendiferous	{(splendiferous)}	['splendiferous']
splendor	{(splendor)}	['splendor']
splice	{(splice)}	['splice']
spliced	{(splice)}	['splice']
splint	{(splint)}	['splint']
splinting	{(splint)}	['splint']
split	{(split)}	['split']
splits	{(split)}	['split']
splitting	{(split)}	['split']
splotch	{(splotch)}	['splotch']
splotched	{(splotch)}	['splotch']
splotches	{(splotch)}	['splotch']
splurge	{(splurge)}	['splurge']
splutter	{(splutter)}	['splutter']
spoil	{(spoil)}	['spoil']
spoiled	{(spoil)}	['spoil']
